imagen:0.jpg, predicho:40.54, verdadero:23.19
imagen:158.jpg, predicho:55.00, verdadero:57.14
imagen:159.jpg, predicho:61.11, verdadero:57.34
imagen:16.jpg, predicho:73.68, verdadero:46.40
imagen:160.jpg, predicho:63.53, verdadero:66.03
imagen:161.jpg, predicho:34.15, verdadero:26.19
imagen:162.jpg, predicho:64.00, verdadero:61.60
imagen:163.jpg, predicho:95.00, verdadero:87.27
imagen:164.jpg, predicho:22.50, verdadero:14.63
imagen:165.jpg, predicho:21.05, verdadero:24.00
imagen:166.jpg, predicho:24.00, verdadero:15.79
imagen:167.jpg, predicho:12.90, verdadero:8.79
imagen:168.jpg, predicho:16.98, verdadero:13.92
imagen:169.jpg, predicho:13.95, verdadero:7.25
imagen:17.jpg, predicho:55.00, verdadero:33.06
imagen:170.jpg, predicho:47.50, verdadero:28.17
imagen:171.jpg, predicho:56.67, verdadero:26.15
imagen:172.jpg, predicho:31.43, verdadero:19.54
imagen:173.jpg, predicho:46.67, verdadero:28.77
imagen:174.jpg, predicho:37.14, verdadero:26.13
imagen:175.jpg, predicho:18.89, verdadero:13.33
imagen:176.jpg, predicho:32.22, verdadero:21.40
imagen:177.jpg, predicho:55.00, verdadero:31.93
imagen:178.jpg, predicho:55.00, verdadero:28.21
imagen:179.jpg, predicho:36.67, verdadero:21.80
imagen:18.jpg, predicho:72.00, verdadero:79.76
imagen:180.jpg, predicho:40.00, verdadero:25.90
imagen:181.jpg, predicho:55.00, verdadero:27.01
imagen:182.jpg, predicho:25.88, verdadero:15.98
imagen:183.jpg, predicho:25.00, verdadero:18.04
imagen:184.jpg, predicho:30.00, verdadero:16.95
imagen:185.jpg, predicho:18.33, verdadero:11.69
imagen:186.jpg, predicho:82.67, verdadero:78.45
imagen:187.jpg, predicho:25.88, verdadero:19.35
imagen:188.jpg, predicho:33.75, verdadero:30.32
imagen:189.jpg, predicho:42.11, verdadero:26.77
imagen:19.jpg, predicho:62.86, verdadero:75.32
imagen:190.jpg, predicho:37.14, verdadero:32.38
imagen:191.jpg, predicho:44.00, verdadero:33.12
imagen:192.jpg, predicho:72.00, verdadero:45.54
imagen:193.jpg, predicho:40.54, verdadero:26.17
imagen:194.jpg, predicho:46.67, verdadero:25.47
imagen:195.jpg, predicho:43.53, verdadero:21.50
imagen:196.jpg, predicho:44.00, verdadero:26.61
imagen:197.jpg, predicho:43.08, verdadero:28.81
imagen:198.jpg, predicho:54.29, verdadero:52.59
imagen:199.jpg, predicho:36.92, verdadero:20.74
imagen:2.jpg, predicho:69.23, verdadero:70.97
imagen:20.jpg, predicho:67.50, verdadero:59.63
imagen:200.jpg, predicho:22.50, verdadero:17.19
imagen:201.jpg, predicho:34.67, verdadero:23.73
imagen:202.jpg, predicho:22.45, verdadero:13.93
imagen:203.jpg, predicho:43.08, verdadero:23.38
imagen:204.jpg, predicho:82.00, verdadero:70.97
imagen:205.jpg, predicho:92.00, verdadero:70.21
imagen:206.jpg, predicho:32.73, verdadero:17.63
imagen:207.jpg, predicho:55.77, verdadero:36.00
imagen:208.jpg, predicho:90.00, verdadero:73.78
imagen:209.jpg, predicho:86.32, verdadero:82.39
imagen:21.jpg, predicho:37.14, verdadero:24.39
imagen:210.jpg, predicho:54.00, verdadero:42.61
imagen:211.jpg, predicho:53.33, verdadero:48.33
imagen:212.jpg, predicho:47.50, verdadero:48.15
imagen:213.jpg, predicho:58.46, verdadero:63.50
imagen:214.jpg, predicho:54.29, verdadero:58.28
imagen:215.jpg, predicho:36.00, verdadero:24.84
imagen:216.jpg, predicho:26.87, verdadero:18.90
imagen:217.jpg, predicho:43.28, verdadero:30.41
imagen:218.jpg, predicho:45.45, verdadero:26.61
imagen:219.jpg, predicho:56.52, verdadero:36.00
imagen:22.jpg, predicho:90.63, verdadero:52.05
imagen:220.jpg, predicho:65.22, verdadero:45.24
imagen:221.jpg, predicho:62.96, verdadero:45.63
imagen:222.jpg, predicho:33.33, verdadero:23.08
imagen:223.jpg, predicho:90.24, verdadero:85.35
imagen:224.jpg, predicho:91.11, verdadero:81.86
imagen:225.jpg, predicho:93.55, verdadero:80.61
imagen:226.jpg, predicho:94.74, verdadero:75.74
imagen:227.jpg, predicho:89.09, verdadero:73.60
imagen:228.jpg, predicho:85.00, verdadero:39.81
imagen:229.jpg, predicho:38.00, verdadero:21.84
imagen:23.jpg, predicho:25.49, verdadero:12.99
imagen:230.jpg, predicho:47.50, verdadero:46.10
imagen:231.jpg, predicho:56.47, verdadero:49.12
imagen:232.jpg, predicho:47.54, verdadero:44.38
imagen:233.jpg, predicho:47.62, verdadero:44.76
imagen:234.jpg, predicho:63.33, verdadero:49.68
imagen:235.jpg, predicho:60.71, verdadero:60.80
imagen:236.jpg, predicho:55.00, verdadero:31.76
imagen:237.jpg, predicho:36.67, verdadero:29.00
imagen:238.jpg, predicho:60.00, verdadero:45.28
imagen:239.jpg, predicho:64.00, verdadero:37.65
imagen:24.jpg, predicho:45.00, verdadero:38.19
imagen:240.jpg, predicho:21.25, verdadero:15.00
imagen:241.jpg, predicho:36.67, verdadero:21.95
imagen:242.jpg, predicho:88.00, verdadero:56.82
imagen:243.jpg, predicho:78.33, verdadero:70.55
imagen:244.jpg, predicho:88.57, verdadero:61.61
imagen:245.jpg, predicho:37.78, verdadero:20.85
imagen:246.jpg, predicho:43.84, verdadero:34.21
imagen:247.jpg, predicho:60.38, verdadero:42.08
imagen:248.jpg, predicho:36.67, verdadero:34.40
imagen:249.jpg, predicho:38.33, verdadero:37.68
imagen:25.jpg, predicho:60.00, verdadero:46.43
imagen:250.jpg, predicho:32.86, verdadero:28.79
imagen:251.jpg, predicho:38.33, verdadero:36.24
imagen:252.jpg, predicho:41.54, verdadero:36.43
imagen:253.jpg, predicho:63.81, verdadero:46.79
imagen:254.jpg, predicho:61.67, verdadero:45.84
imagen:255.jpg, predicho:47.50, verdadero:44.72
imagen:256.jpg, predicho:58.57, verdadero:55.84
imagen:257.jpg, predicho:65.08, verdadero:72.87
imagen:258.jpg, predicho:68.89, verdadero:73.47
imagen:259.jpg, predicho:51.16, verdadero:40.16
imagen:26.jpg, predicho:44.00, verdadero:28.05
imagen:260.jpg, predicho:36.67, verdadero:38.82
imagen:261.jpg, predicho:87.00, verdadero:73.17
imagen:262.jpg, predicho:24.07, verdadero:16.83
imagen:263.jpg, predicho:18.52, verdadero:14.74
imagen:264.jpg, predicho:15.63, verdadero:14.15
imagen:265.jpg, predicho:22.81, verdadero:15.83
imagen:266.jpg, predicho:20.83, verdadero:12.84
imagen:267.jpg, predicho:18.52, verdadero:16.98
imagen:268.jpg, predicho:28.89, verdadero:18.52
imagen:269.jpg, predicho:28.89, verdadero:23.86
imagen:27.jpg, predicho:41.94, verdadero:33.33
imagen:270.jpg, predicho:28.89, verdadero:15.12
imagen:271.jpg, predicho:20.83, verdadero:11.58
imagen:272.jpg, predicho:40.54, verdadero:29.11
imagen:273.jpg, predicho:29.41, verdadero:26.05
imagen:274.jpg, predicho:40.00, verdadero:33.33
imagen:275.jpg, predicho:36.00, verdadero:27.78
imagen:276.jpg, predicho:19.40, verdadero:10.22
imagen:277.jpg, predicho:10.84, verdadero:7.24
imagen:278.jpg, predicho:10.00, verdadero:5.38
imagen:279.jpg, predicho:19.40, verdadero:14.29
imagen:28.jpg, predicho:80.00, verdadero:61.29
imagen:280.jpg, predicho:25.00, verdadero:16.82
imagen:281.jpg, predicho:25.49, verdadero:21.37
imagen:282.jpg, predicho:27.87, verdadero:25.00
imagen:283.jpg, predicho:10.00, verdadero:6.82
imagen:284.jpg, predicho:33.33, verdadero:28.35
imagen:285.jpg, predicho:17.57, verdadero:12.32
imagen:286.jpg, predicho:25.42, verdadero:24.78
imagen:287.jpg, predicho:28.95, verdadero:23.87
imagen:288.jpg, predicho:49.12, verdadero:47.32
imagen:289.jpg, predicho:29.41, verdadero:25.69
imagen:29.jpg, predicho:7.50, verdadero:5.15
imagen:290.jpg, predicho:28.13, verdadero:20.63
imagen:291.jpg, predicho:15.63, verdadero:11.71
imagen:292.jpg, predicho:15.79, verdadero:13.59
imagen:293.jpg, predicho:36.00, verdadero:32.67
imagen:294.jpg, predicho:16.92, verdadero:11.02
imagen:295.jpg, predicho:14.29, verdadero:10.09
imagen:296.jpg, predicho:32.14, verdadero:18.35
imagen:297.jpg, predicho:21.67, verdadero:13.76
imagen:298.jpg, predicho:36.00, verdadero:27.93
imagen:299.jpg, predicho:19.40, verdadero:12.41
imagen:3.jpg, predicho:80.00, verdadero:82.05
imagen:30.jpg, predicho:76.00, verdadero:48.80
imagen:300.jpg, predicho:18.52, verdadero:10.89
imagen:301.jpg, predicho:17.33, verdadero:9.42
imagen:302.jpg, predicho:21.67, verdadero:15.89
imagen:303.jpg, predicho:20.59, verdadero:17.14
imagen:304.jpg, predicho:15.15, verdadero:12.60
imagen:305.jpg, predicho:67.00, verdadero:53.75
imagen:306.jpg, predicho:54.00, verdadero:46.77
imagen:307.jpg, predicho:67.50, verdadero:45.96
imagen:308.jpg, predicho:56.36, verdadero:41.00
imagen:309.jpg, predicho:17.00, verdadero:11.57
imagen:31.jpg, predicho:57.50, verdadero:39.43
imagen:310.jpg, predicho:22.39, verdadero:11.21
imagen:311.jpg, predicho:59.26, verdadero:38.55
imagen:312.jpg, predicho:46.15, verdadero:36.75
imagen:313.jpg, predicho:61.25, verdadero:47.52
imagen:314.jpg, predicho:38.33, verdadero:33.12
imagen:315.jpg, predicho:34.62, verdadero:24.83
imagen:316.jpg, predicho:36.00, verdadero:24.40
imagen:317.jpg, predicho:29.41, verdadero:29.63
imagen:318.jpg, predicho:25.58, verdadero:19.83
imagen:319.jpg, predicho:45.16, verdadero:35.76
imagen:32.jpg, predicho:55.29, verdadero:33.69
imagen:320.jpg, predicho:15.63, verdadero:11.54
imagen:321.jpg, predicho:28.00, verdadero:24.29
imagen:322.jpg, predicho:34.15, verdadero:27.66
imagen:323.jpg, predicho:28.13, verdadero:21.13
imagen:324.jpg, predicho:22.81, verdadero:19.19
imagen:325.jpg, predicho:30.91, verdadero:32.14
imagen:326.jpg, predicho:36.67, verdadero:36.99
imagen:327.jpg, predicho:44.71, verdadero:40.72
imagen:328.jpg, predicho:41.54, verdadero:46.31
imagen:329.jpg, predicho:57.50, verdadero:36.90
imagen:33.jpg, predicho:58.46, verdadero:29.11
imagen:330.jpg, predicho:40.63, verdadero:34.69
imagen:331.jpg, predicho:49.09, verdadero:42.96
imagen:332.jpg, predicho:25.88, verdadero:13.71
imagen:333.jpg, predicho:21.67, verdadero:21.59
imagen:334.jpg, predicho:13.89, verdadero:8.26
imagen:335.jpg, predicho:15.00, verdadero:12.07
imagen:336.jpg, predicho:38.89, verdadero:34.21
imagen:337.jpg, predicho:27.27, verdadero:34.72
imagen:338.jpg, predicho:45.00, verdadero:62.50
imagen:339.jpg, predicho:58.75, verdadero:54.65
imagen:34.jpg, predicho:41.30, verdadero:31.62
imagen:340.jpg, predicho:68.06, verdadero:71.14
imagen:341.jpg, predicho:0.00, verdadero:0.85
imagen:342.jpg, predicho:7.00, verdadero:3.39
imagen:343.jpg, predicho:10.00, verdadero:4.50
imagen:344.jpg, predicho:15.28, verdadero:12.00
imagen:345.jpg, predicho:13.89, verdadero:9.85
imagen:346.jpg, predicho:12.86, verdadero:10.58
imagen:347.jpg, predicho:11.43, verdadero:8.50
imagen:348.jpg, predicho:24.00, verdadero:9.91
imagen:349.jpg, predicho:13.33, verdadero:11.39
imagen:35.jpg, predicho:40.00, verdadero:30.25
imagen:350.jpg, predicho:26.92, verdadero:16.39
imagen:351.jpg, predicho:12.94, verdadero:6.45
imagen:352.jpg, predicho:19.40, verdadero:17.56
imagen:353.jpg, predicho:48.89, verdadero:48.05
imagen:354.jpg, predicho:45.00, verdadero:33.33
imagen:355.jpg, predicho:49.09, verdadero:51.06
imagen:356.jpg, predicho:28.00, verdadero:21.52
imagen:357.jpg, predicho:26.00, verdadero:20.48
imagen:358.jpg, predicho:35.00, verdadero:48.55
imagen:359.jpg, predicho:38.00, verdadero:34.94
imagen:36.jpg, predicho:31.67, verdadero:18.90
imagen:360.jpg, predicho:51.79, verdadero:54.46
imagen:361.jpg, predicho:17.33, verdadero:20.71
imagen:362.jpg, predicho:24.00, verdadero:25.81
imagen:363.jpg, predicho:18.57, verdadero:12.82
imagen:364.jpg, predicho:18.52, verdadero:15.13
imagen:365.jpg, predicho:28.30, verdadero:16.96
imagen:366.jpg, predicho:27.14, verdadero:26.03
imagen:367.jpg, predicho:0.00, verdadero:0.00
imagen:368.jpg, predicho:14.94, verdadero:13.07
imagen:369.jpg, predicho:16.00, verdadero:10.66
imagen:37.jpg, predicho:39.05, verdadero:23.17
imagen:370.jpg, predicho:9.76, verdadero:7.39
imagen:371.jpg, predicho:10.84, verdadero:6.57
imagen:372.jpg, predicho:2.00, verdadero:1.53
imagen:373.jpg, predicho:16.36, verdadero:13.03
imagen:374.jpg, predicho:15.45, verdadero:13.62
imagen:375.jpg, predicho:22.81, verdadero:9.57
imagen:376.jpg, predicho:10.84, verdadero:6.48
imagen:377.jpg, predicho:11.90, verdadero:6.58
imagen:378.jpg, predicho:0.00, verdadero:0.00
imagen:379.jpg, predicho:0.00, verdadero:0.00
imagen:38.jpg, predicho:36.67, verdadero:24.37
imagen:380.jpg, predicho:2.00, verdadero:1.05
imagen:381.jpg, predicho:1.05, verdadero:0.91
imagen:382.jpg, predicho:12.99, verdadero:6.31
imagen:383.jpg, predicho:6.45, verdadero:4.39
imagen:384.jpg, predicho:7.00, verdadero:5.59
imagen:385.jpg, predicho:4.35, verdadero:2.39
imagen:386.jpg, predicho:7.00, verdadero:3.74
imagen:387.jpg, predicho:9.52, verdadero:2.59
imagen:388.jpg, predicho:16.36, verdadero:11.55
imagen:389.jpg, predicho:20.69, verdadero:17.97
imagen:39.jpg, predicho:36.00, verdadero:20.19
imagen:390.jpg, predicho:28.95, verdadero:20.35
imagen:391.jpg, predicho:13.85, verdadero:9.00
imagen:392.jpg, predicho:29.31, verdadero:30.83
imagen:393.jpg, predicho:15.45, verdadero:9.06
imagen:394.jpg, predicho:10.66, verdadero:6.48
imagen:395.jpg, predicho:12.00, verdadero:8.60
imagen:396.jpg, predicho:18.33, verdadero:15.26
imagen:397.jpg, predicho:26.67, verdadero:20.82
imagen:398.jpg, predicho:15.17, verdadero:11.01
imagen:399.jpg, predicho:22.50, verdadero:14.56
imagen:4.jpg, predicho:85.00, verdadero:78.05
imagen:40.jpg, predicho:30.00, verdadero:13.56
imagen:400.jpg, predicho:12.62, verdadero:6.93
imagen:401.jpg, predicho:7.19, verdadero:3.63
imagen:41.jpg, predicho:28.95, verdadero:14.01
imagen:42.jpg, predicho:22.50, verdadero:13.15
imagen:43.jpg, predicho:23.75, verdadero:16.25
imagen:44.jpg, predicho:44.00, verdadero:25.00
imagen:45.jpg, predicho:40.00, verdadero:22.45
imagen:46.jpg, predicho:54.00, verdadero:36.30
imagen:47.jpg, predicho:52.17, verdadero:32.12
imagen:48.jpg, predicho:41.30, verdadero:24.32
imagen:49.jpg, predicho:42.50, verdadero:28.57
imagen:5.jpg, predicho:77.14, verdadero:50.00
imagen:50.jpg, predicho:77.14, verdadero:61.88
imagen:51.jpg, predicho:80.00, verdadero:58.78
imagen:52.jpg, predicho:82.00, verdadero:73.00
imagen:53.jpg, predicho:88.57, verdadero:73.57
imagen:54.jpg, predicho:87.06, verdadero:73.14
imagen:55.jpg, predicho:58.33, verdadero:39.39
imagen:56.jpg, predicho:51.43, verdadero:39.45
imagen:57.jpg, predicho:77.42, verdadero:56.69
imagen:58.jpg, predicho:68.00, verdadero:37.36
imagen:59.jpg, predicho:65.38, verdadero:45.09
imagen:6.jpg, predicho:93.33, verdadero:56.62
imagen:60.jpg, predicho:70.69, verdadero:55.10
imagen:61.jpg, predicho:60.00, verdadero:58.38
imagen:62.jpg, predicho:69.09, verdadero:52.74
imagen:63.jpg, predicho:90.00, verdadero:58.72
imagen:64.jpg, predicho:33.33, verdadero:28.04
imagen:65.jpg, predicho:27.50, verdadero:23.89
imagen:66.jpg, predicho:30.00, verdadero:21.47
imagen:67.jpg, predicho:37.21, verdadero:26.34
imagen:68.jpg, predicho:48.57, verdadero:33.33
imagen:69.jpg, predicho:22.50, verdadero:13.33
imagen:7.jpg, predicho:72.50, verdadero:72.22
imagen:70.jpg, predicho:59.38, verdadero:33.83
imagen:71.jpg, predicho:83.33, verdadero:36.47
imagen:72.jpg, predicho:73.33, verdadero:45.10
imagen:73.jpg, predicho:66.67, verdadero:30.00
imagen:74.jpg, predicho:54.67, verdadero:34.35
imagen:75.jpg, predicho:63.33, verdadero:42.50
imagen:76.jpg, predicho:57.89, verdadero:33.03
imagen:77.jpg, predicho:54.00, verdadero:37.42
imagen:78.jpg, predicho:50.67, verdadero:44.53
imagen:79.jpg, predicho:54.76, verdadero:39.66
imagen:8.jpg, predicho:64.00, verdadero:65.83
imagen:80.jpg, predicho:42.86, verdadero:27.59
imagen:81.jpg, predicho:42.50, verdadero:30.63
imagen:82.jpg, predicho:40.00, verdadero:24.57
imagen:83.jpg, predicho:36.00, verdadero:18.37
imagen:84.jpg, predicho:38.46, verdadero:21.80
imagen:85.jpg, predicho:36.00, verdadero:21.54
imagen:86.jpg, predicho:40.00, verdadero:23.72
imagen:87.jpg, predicho:52.00, verdadero:38.33
imagen:88.jpg, predicho:74.55, verdadero:85.29
imagen:89.jpg, predicho:82.93, verdadero:73.40
imagen:9.jpg, predicho:45.45, verdadero:34.25
imagen:90.jpg, predicho:74.42, verdadero:79.12
imagen:91.jpg, predicho:45.45, verdadero:47.95
imagen:92.jpg, predicho:80.56, verdadero:49.65
imagen:93.jpg, predicho:64.00, verdadero:53.90
imagen:94.jpg, predicho:68.33, verdadero:63.03
imagen:95.jpg, predicho:71.11, verdadero:59.81
imagen:96.jpg, predicho:74.42, verdadero:66.67
imagen:97.jpg, predicho:68.00, verdadero:67.77
imagen:98.jpg, predicho:69.09, verdadero:66.41
imagen:99.jpg, predicho:48.00, verdadero:41.00
