image,predicted,true
299.jpg,19.40,12.41
3.jpg,80.00,82.05
30.jpg,76.00,48.80
300.jpg,18.52,10.89
301.jpg,17.33,9.42
302.jpg,21.67,15.89
303.jpg,20.59,17.14
304.jpg,15.15,12.60
305.jpg,67.00,53.75
306.jpg,54.00,46.77
307.jpg,67.50,45.96
308.jpg,56.36,41.00
309.jpg,17.00,11.57
31.jpg,57.50,39.43
310.jpg,22.39,11.21
311.jpg,59.26,38.55
312.jpg,46.15,36.75
313.jpg,61.25,47.52
314.jpg,38.33,33.12
315.jpg,34.62,24.83
316.jpg,36.00,24.40
317.jpg,29.41,29.63
318.jpg,25.58,19.83
319.jpg,45.16,35.76
32.jpg,55.29,33.69
320.jpg,15.63,11.54
321.jpg,28.00,24.29
322.jpg,34.15,27.66
323.jpg,28.13,21.13
324.jpg,22.81,19.19
325.jpg,30.91,32.14
326.jpg,36.67,36.99
327.jpg,44.71,40.72
328.jpg,41.54,46.31
329.jpg,57.50,36.90
33.jpg,58.46,29.11
330.jpg,40.63,34.69
331.jpg,49.09,42.96
332.jpg,25.88,13.71
333.jpg,21.67,21.59
334.jpg,13.89,8.26
335.jpg,15.00,12.07
336.jpg,38.89,34.21
337.jpg,27.27,34.72
338.jpg,45.00,62.50
339.jpg,58.75,54.65
34.jpg,41.30,31.62
340.jpg,68.06,71.14
341.jpg,0.00,0.85
342.jpg,7.00,3.39
343.jpg,10.00,4.50
344.jpg,15.28,12.00
345.jpg,13.89,9.85
346.jpg,12.86,10.58
347.jpg,11.43,8.50
348.jpg,24.00,9.91
349.jpg,13.33,11.39
35.jpg,40.00,30.25
350.jpg,26.92,16.39
351.jpg,12.94,6.45
352.jpg,19.40,17.56
353.jpg,48.89,48.05
354.jpg,45.00,33.33
355.jpg,49.09,51.06
356.jpg,28.00,21.52
357.jpg,26.00,20.48
358.jpg,35.00,48.55
359.jpg,38.00,34.94
36.jpg,31.67,18.90
360.jpg,51.79,54.46
361.jpg,17.33,20.71
362.jpg,24.00,25.81
363.jpg,18.57,12.82
364.jpg,18.52,15.13
365.jpg,28.30,16.96
366.jpg,27.14,26.03
367.jpg,0.00,0.00
368.jpg,14.94,13.07
369.jpg,16.00,10.66
37.jpg,39.05,23.17
370.jpg,9.76,7.39
371.jpg,10.84,6.57
372.jpg,2.00,1.53
373.jpg,16.36,13.03
374.jpg,15.45,13.62
375.jpg,22.81,9.57
376.jpg,10.84,6.48
377.jpg,11.90,6.58
378.jpg,0.00,0.00
379.jpg,0.00,0.00
38.jpg,36.67,24.37
380.jpg,2.00,1.05
381.jpg,1.05,0.91
382.jpg,12.99,6.31
383.jpg,6.45,4.39
384.jpg,7.00,5.59
385.jpg,4.35,2.39
386.jpg,7.00,3.74
387.jpg,9.52,2.59
388.jpg,16.36,11.55
389.jpg,20.69,17.97
39.jpg,36.00,20.19
390.jpg,28.95,20.35
391.jpg,13.85,9.00
392.jpg,29.31,30.83
393.jpg,15.45,9.06
394.jpg,10.66,6.48
395.jpg,12.00,8.60
396.jpg,18.33,15.26
397.jpg,26.67,20.82
398.jpg,15.17,11.01
399.jpg,22.50,14.56
4.jpg,85.00,78.05
40.jpg,30.00,13.56
400.jpg,12.62,6.93
401.jpg,7.19,3.63
41.jpg,28.95,14.01
42.jpg,22.50,13.15
43.jpg,23.75,16.25
44.jpg,44.00,25.00
45.jpg,40.00,22.45
46.jpg,54.00,36.30
47.jpg,52.17,32.12
48.jpg,41.30,24.32
49.jpg,42.50,28.57
5.jpg,77.14,50.00
50.jpg,77.14,61.88
51.jpg,80.00,58.78
52.jpg,82.00,73.00
53.jpg,88.57,73.57
54.jpg,87.06,73.14
55.jpg,58.33,39.39
56.jpg,51.43,39.45
57.jpg,77.42,56.69
58.jpg,68.00,37.36
59.jpg,65.38,45.09
6.jpg,93.33,56.62
60.jpg,70.69,55.10
61.jpg,60.00,58.38
62.jpg,69.09,52.74
63.jpg,90.00,58.72
64.jpg,33.33,28.04
65.jpg,27.50,23.89
66.jpg,30.00,21.47
67.jpg,37.21,26.34
68.jpg,48.57,33.33
69.jpg,22.50,13.33
7.jpg,72.50,72.22
70.jpg,59.38,33.83
71.jpg,83.33,36.47
72.jpg,73.33,45.10
73.jpg,66.67,30.00
74.jpg,54.67,34.35
75.jpg,63.33,42.50
76.jpg,57.89,33.03
77.jpg,54.00,37.42
78.jpg,50.67,44.53
79.jpg,54.76,39.66
8.jpg,64.00,65.83
80.jpg,42.86,27.59
81.jpg,42.50,30.63
82.jpg,40.00,24.57
83.jpg,36.00,18.37
84.jpg,38.46,21.80
85.jpg,36.00,21.54
86.jpg,40.00,23.72
87.jpg,52.00,38.33
88.jpg,74.55,85.29
89.jpg,82.93,73.40
9.jpg,45.45,34.25
90.jpg,74.42,79.12
91.jpg,45.45,47.95
92.jpg,80.56,49.65
93.jpg,64.00,53.90
94.jpg,68.33,63.03
95.jpg,71.11,59.81
96.jpg,74.42,66.67
97.jpg,68.00,67.77
98.jpg,69.09,66.41
99.jpg,48.00,41.00
