image,predicted,true
323.jpg,23.53,21.13
324.jpg,18.52,19.19
325.jpg,29.11,32.14
326.jpg,31.48,36.99
327.jpg,38.89,40.72
328.jpg,34.00,46.31
329.jpg,42.86,36.90
33.jpg,46.15,29.11
330.jpg,34.00,34.69
331.jpg,34.00,42.96
332.jpg,22.03,13.71
333.jpg,20.00,21.59
334.jpg,10.43,8.26
335.jpg,12.94,12.07
336.jpg,35.94,34.21
337.jpg,32.86,34.72
338.jpg,43.84,62.50
339.jpg,57.73,54.65
34.jpg,33.33,31.62
340.jpg,67.00,71.14
341.jpg,1.23,0.85
342.jpg,4.00,3.39
343.jpg,8.33,4.50
344.jpg,14.94,12.00
345.jpg,9.48,9.85
346.jpg,10.00,10.58
347.jpg,11.34,8.50
348.jpg,17.50,9.91
349.jpg,13.16,11.39
35.jpg,31.87,30.25
350.jpg,23.29,16.39
351.jpg,10.38,6.45
352.jpg,14.94,17.56
353.jpg,45.33,48.05
354.jpg,42.86,33.33
355.jpg,51.43,51.06
356.jpg,24.64,21.52
357.jpg,23.53,20.48
358.jpg,36.00,48.55
359.jpg,43.84,34.94
36.jpg,23.15,18.90
360.jpg,53.41,54.46
361.jpg,19.82,20.71
362.jpg,21.79,25.81
363.jpg,17.78,12.82
364.jpg,17.95,15.13
365.jpg,23.40,16.96
366.jpg,26.00,26.03
367.jpg,0.00,0.00
368.jpg,13.64,13.07
369.jpg,14.00,10.66
37.jpg,28.97,23.17
370.jpg,8.85,7.39
371.jpg,6.86,6.57
372.jpg,2.44,1.53
373.jpg,14.89,13.03
374.jpg,13.33,13.62
375.jpg,17.02,9.57
376.jpg,8.65,6.48
377.jpg,8.40,6.58
378.jpg,0.00,0.00
379.jpg,0.00,0.00
38.jpg,28.95,24.37
380.jpg,1.64,1.05
381.jpg,0.93,0.91
382.jpg,8.62,6.31
383.jpg,4.50,4.39
384.jpg,9.18,5.59
385.jpg,4.13,2.39
386.jpg,5.36,3.74
387.jpg,5.71,2.59
388.jpg,15.79,11.55
389.jpg,19.77,17.97
39.jpg,28.21,20.19
390.jpg,30.19,20.35
391.jpg,11.17,9.00
392.jpg,28.83,30.83
393.jpg,15.49,9.06
394.jpg,10.53,6.48
395.jpg,9.20,8.60
396.jpg,21.33,15.26
397.jpg,23.19,20.82
398.jpg,13.25,11.01
399.jpg,18.50,14.56
4.jpg,78.33,78.05
40.jpg,25.90,13.56
400.jpg,9.09,6.93
401.jpg,7.22,3.63
41.jpg,25.84,14.01
42.jpg,18.25,13.15
43.jpg,23.85,16.25
44.jpg,40.51,25.00
45.jpg,29.09,22.45
46.jpg,43.75,36.30
47.jpg,45.00,32.12
48.jpg,39.71,24.32
49.jpg,40.21,28.57
5.jpg,57.14,50.00
50.jpg,69.79,61.88
51.jpg,62.00,58.78
52.jpg,77.01,73.00
53.jpg,83.00,73.57
54.jpg,78.72,73.14
55.jpg,56.52,39.39
56.jpg,41.98,39.45
57.jpg,62.79,56.69
58.jpg,58.02,37.36
59.jpg,72.00,45.09
6.jpg,55.38,56.62
60.jpg,74.00,55.10
61.jpg,69.81,58.38
62.jpg,67.50,52.74
63.jpg,75.61,58.72
64.jpg,43.08,28.04
65.jpg,31.58,23.89
66.jpg,24.21,21.47
67.jpg,41.59,26.34
68.jpg,42.86,33.33
69.jpg,19.49,13.33
7.jpg,69.01,72.22
70.jpg,45.33,33.83
71.jpg,43.14,36.47
72.jpg,57.14,45.10
73.jpg,36.67,30.00
74.jpg,48.15,34.35
75.jpg,60.19,42.50
76.jpg,50.91,33.03
77.jpg,39.49,37.42
78.jpg,51.92,44.53
79.jpg,43.84,39.66
8.jpg,65.08,65.83
80.jpg,34.92,27.59
81.jpg,33.33,30.63
82.jpg,36.36,24.57
83.jpg,31.71,18.37
84.jpg,34.78,21.80
85.jpg,35.80,21.54
86.jpg,36.25,23.72
87.jpg,30.43,38.33
88.jpg,72.22,85.29
89.jpg,74.24,73.40
9.jpg,31.03,34.25
90.jpg,71.01,79.12
91.jpg,49.06,47.95
92.jpg,65.63,49.65
93.jpg,66.67,53.90
94.jpg,70.27,63.03
95.jpg,68.25,59.81
96.jpg,68.25,66.67
97.jpg,77.78,67.77
98.jpg,67.12,66.41
99.jpg,56.00,41.00
